id,puzzle,solution,clues,difficulty
2224,.......2..7....86...3..7....49..5..3...6.........8.1......6....1.23.86...8.....4.,418596327275134869963827514649215783831679452527483196754961238192348675386752941,21,0.0
3489,.7.......5.63..........41.3....937..6.3....1..........9...68..2....5..6...1...9..,374521698516389427298674153145293786683745219729816534957168342432957861861432975,21,0.0
3978,9.....2....8......3..75.....3....57.....38...4.....9..51....34.....8...9.....67..,971863254658429137324751896832694571197538462465217983516972348743185629289346715,21,0.0
4059,....2..9...14.3..6..5.6......3.9........562....8.....7...1..9.4.....7....6.....3.,736521498981473526245869173523798641417356289698214357872135964359647812164982735,21,0.0
4403,....9.2.63.......847..........8.........6.51.5.3...7......8..2......5..39..41....,185794236396521478472638195219857364847263519563149782754386921621975843938412657,21,0.0
4914,.....96.3.39.4.5....27..........3..28.....4...95.........5....84...1.........6.9.,148259673739648521562731849614873952827195436395462187976524318483917265251386794,21,0.0
5415,.9....8......7....8.....15...596.......8.3..41.6.4.....2.3............674.......3,694135872251678439837429156345961728972853614186742395728396541513284967469517283,21,0.0
6161,....7..6..1...9.....8...2......5..17..6.9.8..42..3......4.........6.8.91.5.......,395472168612389745748561239983256417576194823421837956864915372237648591159723684,21,0.0
6197,...3....8..9..8.....64...37..........7....9.49....215..8..2...36....1......7.....,452317698739268415816495237568149372271653984943872156185924763627531849394786521,21,0.0
9118,..298....3......4.......6..5.....728.....4....26..1.....1..2...........69...475..,472986351368715249195423687514369728839274165726851934641592873257138496983647512,21,0.0
9176,....42....8..5.12.......68......8......5.7.6...7.....9.....94..21.........5...9.3,761842395984653127352971684596328741143597268827164539638719452219435876475286913,21,0.0
9405,4...2.....1....6.......3.1.......923..9...5....64.......8..7.3....86.....2....1.5,465721398713984652892653417584176923179238564236495871948517236351862749627349185,21,0.0
9580,...5..98.27.4......3..6......6....48............2.7..3..4.........31.76..8...5...,461573982278491536935862417756139248823654179149287653314726895592318764687945321,21,0.0
49,93..2..6...2...7..6....89......45..9.4.6.......7.....8.5.......7......2...9..78..,938721465412956783675438912261845379843679251597312648356284197784193526129567834,22,0.0
58,.............8..2..8.3.69.13..2......6.....72.4.1....5..97.....2..5..34......9...,123975864695481723784326951357264198961853472842197635419732586276518349538649217,22,0.0
172,2.....1764....9...63.5........362..1.....1..8.......5....7..8...2..3.....8.....4.,259483176478619235631527984845362791367951428912874653593746812724138569186295347,22,0.0
189,.6...95.2..4....3.83...2.........2.99.....8......4....5.6.2..4...36.........7.3..,761439582294587631835162497348716259917253864652948173576321948183694725429875316,22,0.0
226,3.......1...48.75...2...4...3.......6..89.......5.4.2.1.59...........6....6..73..,348675291961482753752319468539726184624891537817534926175963842293148675486257319,22,0.0
408,3..67..8.6.....1...9..3.....2........7.9...6..1..8..7.5..4.........1...4..75....9,351674982684295137792138546825746391473951268916382475568429713239817654147563829,22,0.0
449,....7..4..31...76.5....8.......6.9....3.9...1.4......3.......52..6.5....8..4.1...,698372145231945768574618239182563974763294581945187623419736852326859417857421396,22,0.0
592,74.5.......2..8......3...953......4..9...7..6.2.....8......13....6..4.....8.9.4..,743569821952178634861342795385926147194837256627415983479251368236784519518693472,22,0.0
605,6...1...58..9..6..1....52.......2..7..1.6.......3.........57..3..9.4..7..6......8,692418735857923614143675289936582147581764392274391856418257963329846571765139428,22,0.0
632,....6..5....3......1...93......7.4.94..6....35......8.3......7..7..9...2..45....1,943261758752348196816759324238175469497682513561934287329416875175893642684527931,22,0.0
960,.8.2..........7.6.13...4......96...5........3..5...1.854..8..........4....65..2.1,687293514254817369139654872413968725928175643765432198542781936891326457376549281,22,0.0
967,.......25.3.1..8..2..89..1.4.........5..4.......63.7........15......9.4..7....36.,781463925934152876265897413496728531357941682128635794842376159613589247579214368,22,0.0
1025,...8...7....6..1.57...3...9..51.......8...3......7.9.229..1........9...4.3.5.....,142859673389647125756231849925183467478962351613475982294716538567398214831524796,22,0.0
1050,.......574..1......6...3.2.71..2..........1....5.....8.3..486...49..2......56....,183296457452187963967453821716824539824935176395671248531748692649312785278569314,22,0.0
1091,...4...5...9.....2...5.3.8.1.....83.....75....6....1.....78.5.6......9...24.6....,618427359359618472247593681172946835893175264465832197931784526786251943524369718,22,0.0
1146,........1...34.8..9.6...7...5...8.9.......2..4.1.56.......794........9.83..6.....,834967521527341869916825743253718694768493215491256387182579436645132978379684152,22,0.0
1150,..4.1...8.1.67.9..2..9.5...........3.7...4....8...35....5...83.....26.........1..,794312658513678942268945371451289763376154289982763514625491837137826495849537126,22,0.0
1160,..........5.3.6..7....8..2......24..3.5...1...6.....98.....7.6.286.9.....1..2....,839275614452316987671984523198762435325849176764531298943157862286493751517628349,22,0.0
1242,3...6..4..1......82..5.9.....49.........8.17...8.7...3...3...9....49.....5......1,375168249419732568286549317734915826592683174168274953841357692623491785957826431,22,0.0
1283,..3.......6...1....2.....7.......9.1....95....583.6...1.9.6...84...8.6.9.......2.,793642185564871392821953476346728951217495863958316247179264538432587619685139724,22,0.0
1363,2...8...53....1.....6...9.8...3.....4.71...........1.9...6.4.5..4...3.2.12.......,291786435384591762756432918912348576467159283538267149879624351645913827123875694,22,0.0
1508,21........4.586..2..74....84..9..7..6.2..8........39......29.........5.1.........,218397654349586172567412398483961725692758413751243986135629847926874531874135269,22,0.0
1595,.......8.2.9...3..1..6...4..75...2......4....3.19..57....3.5.9..42.....6.........,734259681269184357158673942475831269926547813381962574617325498542798136893416725,22,0.0
1698,....3....49......6...9.2.......9..7.....87.5.63.......5..1..7.2..8......9..36.5..,721436895495871236386952147854293671219687453637514928563149782148725369972368514,22,0.0
1714,3..5.........1..76.4.6...8...7...6....4.....1.....3.....9.3.5...18.4.........876.,326587149985314276741629385837451692564972831192863457479236518618745923253198764,22,0.0
1732,2..........6....7....468.........2.6..8..619..5.7.......985.........3.8.3....1..4,214397568836215479597468312973184256428536197651729843749852631162943785385671924,22,0.0
1751,5....9...1......6..672.5.1....3..2....2...........645.....8......3.....449..1...6,538169742124837965967245318649351287352478691781926453276584139813692574495713826,22,0.0
1800,9..1.3.........8......5.97.......7244..8.....1.36......2...4..1..........945..6..,985173462237469815641258973869315724452897136173642598726984351518736249394521687,22,0.0
1955,9.3...5........8.4.7..12....9..3.........7.....6...15.5.1...68..3..4.......5...1.,983476521612359874475812369897135246154267938326984157541793682238641795769528413,22,0.0
1977,.1.....2..9...38.......1.53...2...7...4........6.4..3.1.5.....4..34..9..2...7....,317584629592763841468921753831295476724316598956847132175639284683452917249178365,22,0.0
1983,6....2..35..3......1.9.....4...5.9......6...89.....3.5.5........3....76..4.18....,674512893592348617813976452481753926325469178967821345759634281138295764246187539,22,0.0
2160,...6...8...4.92.5..568.............9.8...5....3.2....7.....4.1..12.........3.8..4,923657481874192653156843972245761839789435126631289547368924715412576398597318264,22,0.0
2180,....894...3.4...87..............7..6..8.9....1.4...89...57.2....6.....3......5..2,726389451539421687841576329392857146658194273174263895415732968267918534983645712,22,0.0
2189,.....2.4...9.7.........62.1.5..64..77......9.62...1....7..4...5......13......3...,865312749219478563437956281958264317741835692623791458376149825592687134184523976,22,0.0
2303,.....87..431.......5......3...5.3..2...6.9..8.7.1.....3.2.4......89......4.....1.,926438751431795286857216943684573192513629478279184635392841567168957324745362819,22,0.0
2370,..47....5.9....8....8.2.1............5..62..3.4....6.7..1...76.........42...89...,624718395193654872578923146316547928759862413842391657481235769935176284267489531,22,0.0
2422,.6...378...8.....4....79...8..1..........7....41.....5.72.4.....5..21.6.3........,569413782718562934423879156837154629695237418241986375172648593954321867386795241,22,0.0
2438,......3.551...9...4...2..6...7.......9...8.........64...8....3...46...2..3.51...8,762841395513769284489325167347256819691438752825197643158972436974683521236514978,22,0.0
2464,........37...1....4...97..5...6.8.1...7....4......5.72.9.....2.8....4...63.8.....,159482763783516294426397185245678319967231548318945672594763821872154936631829457,22,0.0
2480,..1.2.46......6..9...7..5....6..42...7..6.........8..........8.9..1.5....82....47,751829463328456719469731528836974251175362894294518376613247985947185632582693147,22,0.0
2489,.....6...95..8..6.......25361..7...4...5......7....38..9.....2....3.47....2......,237156948954283167186497253613872594428539671579641382391768425865324719742915836,22,0.0
2530,.9.8...........32..47...6.9659.........92...3.....1....6.5.2.8......31.......7...,392816475516749328847235619659378241781924563234651897163592784978463152425187936,22,0.0
2531,......6.4.......9..8..2.5..12..9.......36.2...4...5........6..3...1....57.3....48,231579684657481392984623517125897436879364251346215879518746923492138765763952148,22,0.0
2622,...5....9.13..82....24.....9.67.....2...4.......931..7..8..........7......4...1.5,647523819513698274892417536936752481271846953485931627358164792169275348724389165,22,0.0
2638,..4.......6........78....14......29....17......28..5...4..69........53.7....8..26,124658739963741852578923614716534298895172463432896571247369185689215347351487926,22,0.0
2663,..7......9.....7..5....8..2..48..65...2....431..54.......4.3....3..9........7..9.,367129584928354716541768932794832651652917843183546279279483165835691427416275398,22,0.0
2666,..45....7..6..9.4...831......5.7.6..........3...12........4.28..9...8....5....7..,914562837536789142728314956285473619671895423349126578163947285497258361852631794,22,0.0
2668,....5..1..59.1.2.....7.8.6..........23.....9.1..5....4..6.....7.483.2....1.......,873256419659413278421798563965134782234687195187529634596841327748362951312975846,22,0.0
2725,...7.....6.1.3.....9.....2...48.....1.795.6.8......3...3....1.....5...9.8...6.7..,285791436641235987793648521354876219127953648968124375539487162476512893812369754,22,0.0
2774,.53....84....4...3.....82.....6..198..95.....4...3............5.31.....67....9...,153296784892745613647318259375624198269581437418937562924163875531872946786459321,22,0.0
2819,......9.....2...8...7.58....14.67.....6......7.....2.8..5..3....3....5.7.2...6.9.,862734915543219786197658432214867359386925174759341268975483621638192547421576893,22,0.0
2927,6......8.2...........89..3.....4...5.79.8..2..12..5.........1.415.......8..27....,691324587238517649745896231386942715579183426412765398923658174157439862864271953,22,0.0
3035,4...........2...3959....8...1..8.9.7...........275............3.46.71......46.2..,423897615681245739597136842314682957758914326962753184179528463246371598835469271,22,0.0
3175,..95..3..5.....4.16..........6....7..1.2.6......3..9.4.....85...8.75..4...2......,279514386538627491641839257396485172714296835825371964967148523183752649452963718,22,0.0
3246,....9......4....1..395...6...5....9..7....6.....1.68.2....732....1..4...2..6.....,618497523524368917739521468865732194172849635943156872456973281391284756287615349,22,0.0
3255,9.....3.278..3........4.9.....2.8..9..19......5...4.86...7......3.....5..1....7..,945817362782639415163542978476258139821963547359174286594781623237496851618325794,22,0.0
3338,...69....73...2..8.......4.....7..3...6.....1.825....4..32.1.5....7....29........,814697325735142698269358147591874236476923581382516974643281759158739462927465813,22,0.0
3381,....6...59....57.6..79.....3..64....7..5.......8...1...1....64......2...52..9....,132867495984235716657914328395641287741528963268379154819753642476182539523496871,22,0.0
3395,4.5..........12....3..98.6..1....4.8........7...7...2....3..6..7...5...28.2..9...,485673291679412853231598764917265438326984517548731926154327689793856142862149375,22,0.0
3448,57..2.....1...7......9....1..46..39.........47..2.......6..5.......7.5.2....4.68.,578421936913567428462983751124658397685739214739214865246895173891376542357142689,22,0.0
3543,....26.1...5.....8....3.67......8.322.....9.14.........213.......6.5.......4..8..,974826315365917248182534679659178432237645981418293756721389564846752193593461827,22,0.0
3678,8.....2.4.....9.7.......65....3..1..7....2.8..6......9.16........3.2....4..6.5..3,871536294625849371394271658548397162739162485162458739216983547953724816487615923,22,0.0
3717,.......71...6..8.4.2...9....16.2....8..1..2....54........8.3.1.1.....7.8.9.......,683254971579631824421789365916325487847196253235478196762843519154962738398517642,22,0.0
3757,....9.3.6.5....8..8....72.....15..8.5..2...1...7.8............7...6......1...4.93,472891356956342871831567249364159782589273614127486935245938167793615428618724593,22,0.0
3773,......1..1.7......2....374......2.5..9.......6.8..4...9..61.4...5......27...5..9.,489725136137946528265183749314862957592371864678594213923617485851439672746258391,22,0.0
3805,..5..2.9....6...3..3.........8..95..45....1.7...8......1..7...3...3.5...9...1...2,845732691197684235236591874378149526459263187621857349512978463764325918983416752,22,0.0
3842,...6.3..4......8215........2.7.....8.1........3.2.9.......85..6....1659..7.......,891623754763594821542178369257461938916837245438259617129385476384716592675942183,22,0.0
3871,..2..8..1.8..93........6..42..6....7.5..4.....3..5.8....17.9...9.3.............4.,362478591485193672719526384298631457657842913134957826541769238973284165826315749,22,0.0
3876,...6..57....29......8....2.7...28..364....1....5................1...6..8..2..7.96,129683574374295861568714329791428653643579182285361947936842715417956238852137496,22,0.0
3973,...9.5..1.32.......4..8..5........2..1.8.9...9...4...54..62......7...3.......1.8.,768935241532714968149286753854367129213859476976142835481623597627598314395471682,22,0.0
3982,764..3........67........1......5.....48..9..31..4.......5.....26...9........38.49,764913825351826794829745136972351468548679213136482957495167382683294571217538649,22,0.0
4046,....2.4.......7.6....5...9....7.4.5.4.16......58...3..1...9...5..9.3.........8..6,536829417912347568847561293293784651471653829658912374184296735769435182325178946,22,0.0
4093,....1...89....2...2..6......8..3...556....9......4..27..1.5.8.....8....2......49.,657419238918372564243685719782936145564127983139548627391254876476891352825763491,22,0.0
4107,....3....8..9....2.6.1..4.8.3....294.5..6...1...........4.8.......2...3...1.7.5..,742836915815947362963125478638751294459362781127498653374589126596214837281673549,22,0.0
4154,9.7...3..1....4..24..39.6........78...4.......26.............1....9.7...7..2.8.4.,967182354135674892482395671319426785574839126826751439698543217243917568751268943,22,0.0
4197,.9.6...5..5..........4.2..3....7.5.8..2..83..3....9...4...6.....3.......8....37.1,293687154754931682618452973149376528572148396386529417421765839937814265865293741,22,0.0
4257,......5897.3..........1...4..4.9..5..8..3..1...21.......62...........74..956.....,641327589753849261829516374164792853987435612532168497476281935218953746395674128,22,0.0
4272,..1...79.25.86........3...........6.5.......9..3..5..74......52...18.4.......7..6,361254798257869314849731625784923561516478239923615847478396152695182473132547986,22,0.0
4285,.7..4.....6..5..9...3....4..........9.1....5...476......2..31....92...64.....7..3,175946382468352791293178546687521439921834657354769218842693175739215864516487923,22,0.0
4302,..2....9.....5...6.4............45....4.86..3.57........967.........2.18.7.4..9..,682347195793851426541269837236794581914586273857123649129678354465932718378415962,22,0.0
4310,9.8.6..7...6.........2..89.4.5.....2...9.........83.4..83.1......2...1......37...,948361275256798413317245896435176982861924357729583641583412769672859134194637528,22,0.0
4321,6...35....5.....971...2..........2..5....8......7.36.4.8..1.4...4...9........61..,674935821852164397193827546438691275567248913219753684786312459341589762925476138,22,0.0
4348,...7.36...9.....2.....91...87....3.....9.8.......5..9..63...1.....8...42..72.....,548723619791684523632591487879142365354968271126357894263479158915836742487215936,22,0.0
4358,46........9.....58....78....2.1....6....6.4...3..2..9....8..9.5..79.......2...7..,468295137793641258215378649524189376179563482836724591641837925357912864982456713,22,0.0
4551,7....2...4......3...9.6.......8..7..1....75....46...9...35...........1..6..7.12.5,786352419451978632329164857965813724132497586874625391213546978547289163698731245,22,0.0
4755,17..2....8....3.4.......9.....1....5...67...434....2.......9.1....4...6...3.5...7,174928653892563741635741928726134895589672134341895276467389512258417369913256487,22,0.0
4784,...45..3...6....2.5...7....9.......5.27.69.........1...4..2..5.2..9...8......6..3,792451836416398527538672419984213765127569348365784192643827951271935684859146273,22,0.0
4810,...3...49..6..5...9.2.8..3.7...2...1...4..6.8.....69......1....37.......8..7.....,587362149136945782942187536763829451295431678418576923654213897379658214821794365,22,0.0
4822,6.....9...4.86.........3.2....1.4...93........2....698..1.8.7.......935.......2..,682751943349862175517943826876194532935628417124537698291385764468279351753416289,22,0.0
4896,............2....3..1.846....5.3.1...2..........7..4.2..8....39...39...7.3...12..,982563741654217983371984625495632178827149356163758492718426539246395817539871264,22,0.0
4961,....2..6......9..5.7.4.8...48.....2.5...6..1..9...78...1.9....4.........8.....6.7,941725368328619475675438192487391526532864719196257843713986254264573981859142637,22,0.0
5006,....3..9.6.....7.....97..15.2...4...5....612.84........52.........7.......1..28..,785631492619245738234978615126594387597386124843127569452813976368759241971462853,22,0.0
5105,....5..3.7...4.6..61......738..9....1....3.2................9..2...36..1..5...74.,928657134753241698614389257382195476149763825576824319431578962297436581865912743,22,0.0
5133,...1..8.28.95...7.7.46...3.......9....6..8.......4....34..7....6.......1...9.6...,563197842829534176714682539438265917976318254251749368342871695695423781187956423,22,0.0
5216,.7.19...5..3..54.22....8...32..........9...13..47.............7.6.......8...53...,478192365913675482256348971321586749785924613694731528132469857569817234847253196,22,0.0
